Thailand (1),Singapore (2),1,2616,Tigerair
(Suvarnabhumi International Airport),(Changi Airport),2,2301,Tigerair
,,3,2190,Tigerair
,,4,2190,Tigerair
,,5,1990,Tigerair
,,6,1990,Tigerair
,,7,3182,Jetstar
,,8,1990,Tigerair
,,9,1990,Tigerair
,,10,2082,Jetstar
,,11,2430,Tigerair
,,12,1990,Tigerair
,,13,1990,Tigerair
,,14,1990,Tigerair
,,15,1990,Tigerair
,,16,1990,Tigerair
,,17,1990,Tigerair
,,18,1990,Tigerair
,,19,1990,Tigerair
,,20,1990,Tigerair
Thailand (1),Malaysia (3),1,4390,Malaysia Airline
(Suvarnabhumi International Airport),(Kuala Lumpur International Airport ),2,4430,Malaysia Airline
,,3,4390,Malaysia Airline
,,4,4390,Malaysia Airline
,,5,4390,Malaysia Airline
,,6,4390,Malaysia Airline
,,7,4430,Malaysia Airline
,,8,4390,Malaysia Airline
,,9,4390,Malaysia Airline
,,10,4390,Malaysia Airline
,,11,4390,Malaysia Airline
,,12,4390,Malaysia Airline
,,13,4390,Malaysia Airline
,,14,4390,Malaysia Airline
,,15,4390,Malaysia Airline
,,16,4390,Malaysia Airline
,,17,4390,Malaysia Airline
,,18,4390,Malaysia Airline
,,19,4390,Malaysia Airline
,,20,4390,Malaysia Airline
Thailand (1),Japan (4),1,17110,Bangkok Airways
(Suvarnabhumi International Airport),(Narita International Airport),2,16958,Bangkok Airways
,,3,16958,Bangkok Airways
,,4,17110,Bangkok Airways
,,5,17110,Bangkok Airways
,,6,17110,Bangkok Airways
,,7,17110,Bangkok Airways
,,8,17110,Bangkok Airways
,,9,17110,Bangkok Airways
,,10,17110,Bangkok Airways
,,11,17110,Bangkok Airways
,,12,16958,Bangkok Airways
,,13,16958,Bangkok Airways
,,14,16958,Bangkok Airways
,,15,16958,Bangkok Airways
,,16,16958,Bangkok Airways
,,17,17063,Bangkok Airways
,,18,17063,Bangkok Airways
,,19,17063,Bangkok Airways
,,20,17063,Bangkok Airways
Thailand (1),South Korea  (5),1,9295,Jin Air
(Suvarnabhumi International Airport),(Incheon International Airport),2,9295,Jin Air
,,3,9295,Jin Air
,,4,9295,Jin Air
,,5,9295,Jin Air
,,6,9295,Jin Air
,,7,9548,Asiana Airlines
,,8,9548,Asiana Airlines
,,9,9548,Asiana Airlines
,,10,9548,Asiana Airlines
,,11,9548,Asiana Airlines
,,12,9548,Asiana Airlines
,,13,9548,Asiana Airlines
,,14,9548,Asiana Airlines
,,15,9548,Asiana Airlines
,,16,9548,Asiana Airlines
,,17,9295,Jin Air
,,18,9472,Asiana Airlines
,,19,9472,Asiana Airlines
,,20,9472,Asiana Airlines
Thailand (1),China  (6),1,11213,Air China
(Suvarnabhumi International Airport),(Beijing Capital International Airport),2,11213,Air China
,,3,11892,Air China
,,4,11892,Air China
,,5,11835,Air China
,,6,11835,Air China
,,7,11835,Air China
,,8,11213,Air China
,,9,11892,Air China
,,10,11892,Air China
,,11,11892,Air China
,,12,11835,Air China
,,13,11892,Air China
,,14,11213,Air China
,,15,11213,Air China
,,16,11213,Air China
,,17,11835,Air China
,,18,11835,Air China
,,19,11213,Air China
,,20,11213,Air China
Thailand (1),Hong kong  (7),1,4871,Hong Kong Airlines
(Suvarnabhumi International Airport),(Hong kong International Airport),2,4871,Hong Kong Airlines
,,3,4697,Hong Kong Airlines
,,4,4697,Hong Kong Airlines
,,5,4697,Hong Kong Airlines
,,6,4697,Hong Kong Airlines
,,7,4697,Hong Kong Airlines
,,8,4697,Hong Kong Airlines
,,9,4697,Hong Kong Airlines
,,10,4697,Hong Kong Airlines
,,11,4697,Hong Kong Airlines
,,12,4697,Hong Kong Airlines
,,13,4697,Hong Kong Airlines
,,14,4697,Hong Kong Airlines
,,15,4697,Hong Kong Airlines
,,16,4697,Hong Kong Airlines
,,17,4871,Hong Kong Airlines
,,18,4871,Hong Kong Airlines
,,19,4871,Hong Kong Airlines
,,20,4871,Hong Kong Airlines
Thailand (1),Australia (8),1,11316,Emirates
(Suvarnabhumi International Airport),(Sydney International Airport ),2,11316,Emirates
,,3,11316,Emirates
,,4,12457,Qantas
,,5,12457,Qantas
,,6,12457,Qantas
,,7,11908,Emirates
,,8,11908,Emirates
,,9,11908,Emirates
,,10,11908,Emirates
,,11,11908,Emirates
,,12,11908,Emirates
,,13,12457,Qantas
,,14,12457,Qantas
,,15,12457,Qantas
,,16,12457,Qantas
,,17,12457,Qantas
,,18,12457,Qantas
,,19,12457,Qantas
,,20,12457,Qantas
Thailand (1),United States of America  (9),1,No flights,No flights
(Suvarnabhumi International Airport),(JFK International Airport),2,No flights,No flights
,,3,No flights,No flights
,,4,No flights,No flights
,,5,No flights,No flights
,,6,No flights,No flights
,,7,No flights,No flights
,,8,No flights,No flights
,,9,No flights,No flights
,,10,No flights,No flights
,,11,No flights,No flights
,,12,No flights,No flights
,,13,No flights,No flights
,,14,No flights,No flights
,,15,No flights,No flights
,,16,No flights,No flights
,,17,No flights,No flights
,,18,No flights,No flights
,,19,No flights,No flights
,,20,No flights,No flights
Thailand (1),United Kingdom  (10),1,21979,Thai Airways
(Suvarnabhumi International Airport),(London Heathrow Airport),2,22546,British Airways
,,3,22546,British Airways
,,4,21979,Thai Airways
,,5,21979,Thai Airways
,,6,21979,Thai Airways
,,7,22546,British Airways
,,8,22780,British Airways
,,9,22780,British Airways
,,10,22780,British Airways
,,11,22546,British Airways
,,12,22546,British Airways
,,13,22546,British Airways
,,14,22546,British Airways
,,15,21979,Thai Airways
,,16,22546,British Airways
,,17,22546,British Airways
,,18,22546,British Airways
,,19,22546,British Airways
,,20,22546,British Airways
Thailand (1),France (11),1,27360,Thai Airways
(Suvarnabhumi International Airport),(Charles de Gaulle Airport),2,27360,Thai Airways
,,3,26941,Thai Airways
,,4,26941,Thai Airways
,,5,26941,Thai Airways
,,6,26941,Thai Airways
,,7,26941,Thai Airways
,,8,26941,Thai Airways
,,9,26941,Thai Airways
,,10,26941,Thai Airways
,,11,26941,Thai Airways
,,12,26941,Thai Airways
,,13,26941,Thai Airways
,,14,27150,Thai Airways
,,15,27150,Thai Airways
,,16,26941,Thai Airways
,,17,26941,Thai Airways
,,18,27150,Thai Airways
,,19,26941,Thai Airways
,,20,27150,Thai Airways
Thailand (1),Italy (12),1,26360,Thai Airways
(Suvarnabhumi International Airport),(Leonardo da Vinci Airport),2,26178,Thai Airways
,,3,26178,Thai Airways
,,4,26360,Thai Airways
,,5,26981,Thai Airways
,,6,26981,Thai Airways
,,7,26360,Thai Airways
,,8,26981,Thai Airways
,,9,27439,Thai Airways
,,10,26981,Thai Airways
,,11,26981,Thai Airways
,,12,26360,Thai Airways
,,13,26360,Thai Airways
,,14,27439,Thai Airways
,,15,26981,Thai Airways
,,16,26981,Thai Airways
,,17,26981,Thai Airways
,,18,26981,Thai Airways
,,19,27439,Thai Airways
,,20,27439,Thai Airways
Thailand (1),Germany (13),1,22960,Thai Airways
(Suvarnabhumi International Airport),(Frankfurt Airport),2,22960,Thai Airways
,,3,22960,Thai Airways
,,4,22960,Thai Airways
,,5,21834,Thai Airways
,,6,22960,Thai Airways
,,7,21834,Thai Airways
,,8,21834,Thai Airways
,,9,23486,Thai Airways
,,10,23486,Thai Airways
,,11,22960,Thai Airways
,,12,22960,Thai Airways
,,13,23124,Thai Airways
,,14,23486,Thai Airways
,,15,23486,Thai Airways
,,16,23124,Thai Airways
,,17,23124,Thai Airways
,,18,23124,Thai Airways
,,19,23124,Thai Airways
,,20,23124,Thai Airways
Thailand (1),Spain (14),1,No flights,No flights
(Suvarnabhumi International Airport),(Madrid-Barajas Airport),2,No flights,No flights
,,3,No flights,No flights
,,4,No flights,No flights
,,5,No flights,No flights
,,6,No flights,No flights
,,7,No flights,No flights
,,8,No flights,No flights
,,9,No flights,No flights
,,10,No flights,No flights
,,11,No flights,No flights
,,12,No flights,No flights
,,13,No flights,No flights
,,14,No flights,No flights
,,15,No flights,No flights
,,16,No flights,No flights
,,17,No flights,No flights
,,18,No flights,No flights
,,19,No flights,No flights
,,20,No flights,No flights
Thailand (1),New Zealand (15),1,No flights,No flights
(Suvarnabhumi International Airport),(Auckland Airport),2,No flights,No flights
,,3,No flights,No flights
,,4,No flights,No flights
,,5,No flights,No flights
,,6,No flights,No flights
,,7,No flights,No flights
,,8,No flights,No flights
,,9,No flights,No flights
,,10,No flights,No flights
,,11,No flights,No flights
,,12,No flights,No flights
,,13,No flights,No flights
,,14,No flights,No flights
,,15,No flights,No flights
,,16,No flights,No flights
,,17,No flights,No flights
,,18,No flights,No flights
,,19,No flights,No flights
,,20,No flights,No flights
Thailand (1),Ireland (16),1,No flights,No flights
(Suvarnabhumi International Airport),(Dublin Airport),2,No flights,No flights
,,3,No flights,No flights
,,4,No flights,No flights
,,5,No flights,No flights
,,6,No flights,No flights
,,7,No flights,No flights
,,8,No flights,No flights
,,9,No flights,No flights
,,10,No flights,No flights
,,11,No flights,No flights
,,12,No flights,No flights
,,13,No flights,No flights
,,14,No flights,No flights
,,15,No flights,No flights
,,16,No flights,No flights
,,17,No flights,No flights
,,18,No flights,No flights
,,19,No flights,No flights
,,20,No flights,No flights
Thailand (1),Canada (17),1,No flights,No flights
(Suvarnabhumi International Airport),(Toronto Pearson International Airport),2,No flights,No flights
,,3,No flights,No flights
,,4,No flights,No flights
,,5,No flights,No flights
,,6,No flights,No flights
,,7,No flights,No flights
,,8,No flights,No flights
,,9,No flights,No flights
,,10,No flights,No flights
,,11,No flights,No flights
,,12,No flights,No flights
,,13,No flights,No flights
,,14,No flights,No flights
,,15,No flights,No flights
,,16,No flights,No flights
,,17,No flights,No flights
,,18,No flights,No flights
,,19,No flights,No flights
,,20,No flights,No flights
Thailand (1),Greece (18),1,No flights,No flights
(Suvarnabhumi International Airport),(Athens International Airport),2,No flights,No flights
,,3,No flights,No flights
,,4,No flights,No flights
,,5,No flights,No flights
,,6,No flights,No flights
,,7,No flights,No flights
,,8,No flights,No flights
,,9,No flights,No flights
,,10,No flights,No flights
,,11,No flights,No flights
,,12,No flights,No flights
,,13,No flights,No flights
,,14,No flights,No flights
,,15,No flights,No flights
,,16,No flights,No flights
,,17,No flights,No flights
,,18,No flights,No flights
,,19,No flights,No flights
,,20,No flights,No flights
Thailand (1),Turkey (19),1,30066,Turkish Airlines
(Suvarnabhumi International Airport),(Istanbul Ataturk Airport),2,30224,Turkish Airlines
,,3,29732,Turkish Airlines
,,4,30066,Turkish Airlines
,,5,30066,Turkish Airlines
,,6,30215,Turkish Airlines
,,7,30066,Turkish Airlines
,,8,31124,Turkish Airlines
,,9,31466,Turkish Airlines
,,10,31466,Turkish Airlines
,,11,31124,Turkish Airlines
,,12,31466,Turkish Airlines
,,13,31124,Turkish Airlines
,,14,31466,Turkish Airlines
,,15,29732,Turkish Airlines
,,16,30066,Turkish Airlines
,,17,30066,Turkish Airlines
,,18,30215,Turkish Airlines
,,19,30066,Turkish Airlines
,,20,30066,Turkish Airlines
Thailand (1),Switzerland (20),1,20441,Swiss Airlines
(Suvarnabhumi International Airport),(Zurich Airport),2,20441,Swiss Airlines
,,3,21080,Swiss Airlines
,,4,20005,Swiss Airlines
,,5,20005,Swiss Airlines
,,6,20005,Swiss Airlines
,,7,20441,Swiss Airlines
,,8,20005,Swiss Airlines
,,9,20005,Swiss Airlines
,,10,21615,Swiss Airlines
,,11,21615,Swiss Airlines
,,12,21615,Swiss Airlines
,,13,21615,Swiss Airlines
,,14,22310,Swiss Airlines
,,15,20441,Swiss Airlines
,,16,20441,Swiss Airlines
,,17,20441,Swiss Airlines
,,18,21080,Swiss Airlines
,,19,21080,Swiss Airlines
,,20,21080,Swiss Airlines
Singapore (2),Thailand (1),1,1859,Tigerair
(Changi Airport),(Suvarnabhumi International Airport),2,1859,Tigerair
,,3,1859,Tigerair
,,4,1918,Tigerair
,,5,1859,Tigerair
,,6,1859,Tigerair
,,7,1859,Tigerair
,,8,1859,Tigerair
,,9,1859,Tigerair
,,10,2444,Jetstar
,,11,1918,Tigerair
,,12,1859,Tigerair
,,13,1859,Tigerair
,,14,1859,Tigerair
,,15,1918,Tigerair
,,16,1859,Tigerair
,,17,1859,Tigerair
,,18,1918,Tigerair
,,19,1859,Tigerair
,,20,1918,Tigerair
Singapore (2),Malaysia (3),1,1102,Jetstar
(Changi Airport),(Kuala Lumpur International Airport ),2,1102,Jetstar
,,3,1102,Jetstar
,,4,1063,Tigerair
,,5,1063,Tigerair
,,6,1102,Jetstar
,,7,1102,Jetstar
,,8,1102,Jetstar
,,9,1102,Jetstar
,,10,1102,Jetstar
,,11,1063,Tigerair
,,12,1063,Tigerair
,,13,1102,Jetstar
,,14,1063,Tigerair
,,15,1102,Jetstar
,,16,1063,Tigerair
,,17,1063,Tigerair
,,18,1102,Jetstar
,,19,1102,Jetstar
,,20,1102,Jetstar
Singapore (2),Japan (4),1,7732,Delta
(Changi Airport),(Narita International Airport),2,7729,Delta
,,3,7729,Delta
,,4,7729,Delta
,,5,7729,Delta
,,6,8432,Delta
,,7,11248,Delta
,,8,8432,Delta
,,9,12422,Delta
,,10,9137,Delta
,,11,12436,Delta
,,12,8432,Delta
,,13,8432,Delta
,,14,8432,Delta
